"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V03371","Age Group","UNIT","VALUE"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","-","All ages","%","30.5"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","300","15 - 19 years","%","25.1"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","365","20 - 24 years","%","61.8"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","410","25 - 29 years","%","51.6"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","440","30 - 34 years","%","35"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","460","35 - 39 years","%","33.1"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","475","40 - 44 years","%","33.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","495","45 - 49 years","%","27"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","515","50 - 54 years","%","26.7"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","530","55 - 59 years","%","25.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","550","60 - 64 years","%","22.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","565","65 - 69 years","%","21.7"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","580","70 - 74 years","%","12.3"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","605","75 years and over","%","6.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","-","All ages","%","45.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","300","15 - 19 years","%","36.4"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","365","20 - 24 years","%","76.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","410","25 - 29 years","%","66.8"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","440","30 - 34 years","%","51.2"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","460","35 - 39 years","%","47.3"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","475","40 - 44 years","%","47.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","495","45 - 49 years","%","41"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","515","50 - 54 years","%","45.7"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","530","55 - 59 years","%","45.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","550","60 - 64 years","%","38.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","565","65 - 69 years","%","31.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","580","70 - 74 years","%","23.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","605","75 years and over","%","14.7"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","-","All ages","%","16.1"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","300","15 - 19 years","%","14"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","365","20 - 24 years","%","44.2"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","410","25 - 29 years","%","34.8"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","440","30 - 34 years","%","22.1"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","460","35 - 39 years","%","19.8"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","475","40 - 44 years","%","18.4"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","495","45 - 49 years","%","12.2"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","515","50 - 54 years","%","9"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","530","55 - 59 years","%","6.1"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","550","60 - 64 years","%","5.7"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","565","65 - 69 years","%","12.3"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","580","70 - 74 years","%","2.2"
"HIS47C01","Persons who binge drink","2015","2015","2","Female","605","75 years and over","%","1"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","-","All ages","%","28.1"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","300","15 - 19 years","%","22.8"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","365","20 - 24 years","%","55.4"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","410","25 - 29 years","%","37.9"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","440","30 - 34 years","%","36.6"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","460","35 - 39 years","%","30.9"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","475","40 - 44 years","%","29.2"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","495","45 - 49 years","%","29.2"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","515","50 - 54 years","%","26.6"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","530","55 - 59 years","%","23.7"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","550","60 - 64 years","%","27.2"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","565","65 - 69 years","%","16.3"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","580","70 - 74 years","%","14.7"
"HIS47C01","Persons who binge drink","2016","2016","-","Both sexes","605","75 years and over","%","6.1"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","-","All ages","%","43.5"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","300","15 - 19 years","%","30.3"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","365","20 - 24 years","%","74"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","410","25 - 29 years","%","50.5"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","440","30 - 34 years","%","54.2"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","460","35 - 39 years","%","48.8"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","475","40 - 44 years","%","43.4"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","495","45 - 49 years","%","48.2"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","515","50 - 54 years","%","45.4"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","530","55 - 59 years","%","38.7"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","550","60 - 64 years","%","46.9"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","565","65 - 69 years","%","31.2"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","580","70 - 74 years","%","27.7"
"HIS47C01","Persons who binge drink","2016","2016","1","Male","605","75 years and over","%","13.3"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","-","All ages","%","13.5"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","300","15 - 19 years","%","14.3"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","365","20 - 24 years","%","37.5"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","410","25 - 29 years","%","25.4"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","440","30 - 34 years","%","21.7"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","460","35 - 39 years","%","12.3"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","475","40 - 44 years","%","16.5"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","495","45 - 49 years","%","11.3"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","515","50 - 54 years","%","7.4"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","530","55 - 59 years","%","10.9"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","550","60 - 64 years","%","5"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","565","65 - 69 years","%","3.2"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","580","70 - 74 years","%","1.4"
"HIS47C01","Persons who binge drink","2016","2016","2","Female","605","75 years and over","%","0.7"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","-","All ages","%","30.8"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","300","15 - 19 years","%","22.4"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","365","20 - 24 years","%","49.2"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","410","25 - 29 years","%","51.9"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","440","30 - 34 years","%","43"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","460","35 - 39 years","%","35.2"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","475","40 - 44 years","%","32"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","495","45 - 49 years","%","30.7"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","515","50 - 54 years","%","30.9"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","530","55 - 59 years","%","24.8"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","550","60 - 64 years","%","25.1"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","565","65 - 69 years","%","21.4"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","580","70 - 74 years","%","14.1"
"HIS47C01","Persons who binge drink","2017","2017","-","Both sexes","605","75 years and over","%","4.3"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","-","All ages","%","46.3"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","300","15 - 19 years","%","32"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","365","20 - 24 years","%","66.6"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","410","25 - 29 years","%","69.4"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","440","30 - 34 years","%","62.3"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","460","35 - 39 years","%","53.1"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","475","40 - 44 years","%","47.8"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","495","45 - 49 years","%","46.4"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","515","50 - 54 years","%","44.9"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","530","55 - 59 years","%","44.8"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","550","60 - 64 years","%","41.5"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","565","65 - 69 years","%","37.8"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","580","70 - 74 years","%","26.4"
"HIS47C01","Persons who binge drink","2017","2017","1","Male","605","75 years and over","%","8.7"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","-","All ages","%","16"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","300","15 - 19 years","%","12"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","365","20 - 24 years","%","32.4"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","410","25 - 29 years","%","31.5"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","440","30 - 34 years","%","28.1"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","460","35 - 39 years","%","18.4"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","475","40 - 44 years","%","16.2"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","495","45 - 49 years","%","14.6"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","515","50 - 54 years","%","17.8"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","530","55 - 59 years","%","6.6"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","550","60 - 64 years","%","7.5"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","565","65 - 69 years","%","7.2"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","580","70 - 74 years","%","2.5"
"HIS47C01","Persons who binge drink","2017","2017","2","Female","605","75 years and over","%","0.7"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","-","All ages","%","28.7"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","300","15 - 19 years","%","21.4"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","365","20 - 24 years","%","51.5"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","410","25 - 29 years","%","45.6"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","440","30 - 34 years","%","38.1"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","460","35 - 39 years","%","31.5"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","475","40 - 44 years","%","28.7"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","495","45 - 49 years","%","27.1"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","515","50 - 54 years","%","28.5"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","530","55 - 59 years","%","26.6"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","550","60 - 64 years","%","21.4"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","565","65 - 69 years","%","20.6"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","580","70 - 74 years","%","13.3"
"HIS47C01","Persons who binge drink","2018","2018","-","Both sexes","605","75 years and over","%","8.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","-","All ages","%","43.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","300","15 - 19 years","%","30.2"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","365","20 - 24 years","%","66.8"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","410","25 - 29 years","%","59.2"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","440","30 - 34 years","%","55.5"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","460","35 - 39 years","%","47.6"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","475","40 - 44 years","%","45.6"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","495","45 - 49 years","%","39.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","515","50 - 54 years","%","43.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","530","55 - 59 years","%","44"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","550","60 - 64 years","%","37.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","565","65 - 69 years","%","36.4"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","580","70 - 74 years","%","25.3"
"HIS47C01","Persons who binge drink","2018","2018","1","Male","605","75 years and over","%","16.2"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","-","All ages","%","14.8"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","300","15 - 19 years","%","12.2"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","365","20 - 24 years","%","35.6"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","410","25 - 29 years","%","31.5"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","440","30 - 34 years","%","22.8"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","460","35 - 39 years","%","15.8"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","475","40 - 44 years","%","12.8"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","495","45 - 49 years","%","15.6"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","515","50 - 54 years","%","13.2"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","530","55 - 59 years","%","8.1"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","550","60 - 64 years","%","6.9"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","565","65 - 69 years","%","6.1"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","580","70 - 74 years","%","3"
