"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V03371","Age Group","UNIT","VALUE"
"HIS47C01","Persons who binge drink","2018","2018","2","Female","605","75 years and over","%","1.4"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","-","All ages","%","14.7"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","300","15 - 19 years","%","17.2"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","365","20 - 24 years","%","25.3"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","410","25 - 29 years","%","19.2"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","440","30 - 34 years","%","19.2"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","460","35 - 39 years","%","16.3"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","475","40 - 44 years","%","13.8"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","495","45 - 49 years","%","16.2"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","515","50 - 54 years","%","12.2"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","530","55 - 59 years","%","11.6"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","550","60 - 64 years","%","11.6"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","565","65 - 69 years","%","9"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","580","70 - 74 years","%","6.8"
"HIS47C01","Persons who binge drink","2021","2021","-","Both sexes","605","75 years and over","%","5.5"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","-","All ages","%","23.6"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","300","15 - 19 years","%","28.1"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","365","20 - 24 years","%","36.1"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","410","25 - 29 years","%","27"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","440","30 - 34 years","%","32.6"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","460","35 - 39 years","%","28.4"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","475","40 - 44 years","%","21.3"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","495","45 - 49 years","%","27.2"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","515","50 - 54 years","%","20.1"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","530","55 - 59 years","%","17.2"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","550","60 - 64 years","%","17"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","565","65 - 69 years","%","17.8"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","580","70 - 74 years","%","14.7"
"HIS47C01","Persons who binge drink","2021","2021","1","Male","605","75 years and over","%","8.5"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","-","All ages","%","6.2"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","300","15 - 19 years","%","5.7"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","365","20 - 24 years","%","14.3"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","410","25 - 29 years","%","11.8"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","440","30 - 34 years","%","6.6"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","460","35 - 39 years","%","5.1"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","475","40 - 44 years","%","6.2"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","495","45 - 49 years","%","5.1"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","515","50 - 54 years","%","4.7"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","530","55 - 59 years","%","5.7"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","550","60 - 64 years","%","6.6"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","565","65 - 69 years","%","2.5"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","580","70 - 74 years","%","0.2"
"HIS47C01","Persons who binge drink","2021","2021","2","Female","605","75 years and over","%","2.3"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","-","All ages","%","21.6"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","300","15 - 19 years","%","26.3"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","365","20 - 24 years","%","36.7"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","410","25 - 29 years","%","30.2"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","440","30 - 34 years","%","24"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","460","35 - 39 years","%","21.5"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","475","40 - 44 years","%","21.9"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","495","45 - 49 years","%","18.5"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","515","50 - 54 years","%","20.3"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","530","55 - 59 years","%","22.3"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","550","60 - 64 years","%","17.2"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","565","65 - 69 years","%","13"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","580","70 - 74 years","%","12.3"
"HIS47C01","Persons who binge drink","2022","2022","-","Both sexes","605","75 years and over","%","8.1"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","-","All ages","%","33.4"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","300","15 - 19 years","%","35.6"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","365","20 - 24 years","%","52.7"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","410","25 - 29 years","%","38.7"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","440","30 - 34 years","%","38.4"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","460","35 - 39 years","%","30.8"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","475","40 - 44 years","%","32.8"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","495","45 - 49 years","%","28.1"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","515","50 - 54 years","%","31.3"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","530","55 - 59 years","%","36.4"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","550","60 - 64 years","%","33.6"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","565","65 - 69 years","%","22.1"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","580","70 - 74 years","%","26.5"
"HIS47C01","Persons who binge drink","2022","2022","1","Male","605","75 years and over","%","16.8"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","-","All ages","%","10.2"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","300","15 - 19 years","%","15.7"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","365","20 - 24 years","%","21.7"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","410","25 - 29 years","%","21.6"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","440","30 - 34 years","%","10.3"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","460","35 - 39 years","%","14.1"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","475","40 - 44 years","%","10.2"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","495","45 - 49 years","%","10.1"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","515","50 - 54 years","%","8.1"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","530","55 - 59 years","%","7.5"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","550","60 - 64 years","%","2.6"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","565","65 - 69 years","%","4"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","580","70 - 74 years","%","1.5"
"HIS47C01","Persons who binge drink","2022","2022","2","Female","605","75 years and over","%","0"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","-","All ages","%","24.1"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","300","15 - 19 years","%","32.8"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","365","20 - 24 years","%","37.9"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","410","25 - 29 years","%","27.2"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","440","30 - 34 years","%","29.5"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","460","35 - 39 years","%","24.7"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","475","40 - 44 years","%","26.4"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","495","45 - 49 years","%","22.4"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","515","50 - 54 years","%","21.9"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","530","55 - 59 years","%","24"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","550","60 - 64 years","%","19.9"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","565","65 - 69 years","%","17.4"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","580","70 - 74 years","%","14"
"HIS47C01","Persons who binge drink","2023","2023","-","Both sexes","605","75 years and over","%","7.1"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","-","All ages","%","37.2"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","300","15 - 19 years","%","43.4"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","365","20 - 24 years","%","50.5"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","410","25 - 29 years","%","38.8"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","440","30 - 34 years","%","40.6"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","460","35 - 39 years","%","39.7"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","475","40 - 44 years","%","41.3"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","495","45 - 49 years","%","35.2"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","515","50 - 54 years","%","37"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","530","55 - 59 years","%","36.3"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","550","60 - 64 years","%","34.9"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","565","65 - 69 years","%","32.1"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","580","70 - 74 years","%","25.9"
"HIS47C01","Persons who binge drink","2023","2023","1","Male","605","75 years and over","%","15"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","-","All ages","%","11.5"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","300","15 - 19 years","%","21.2"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","365","20 - 24 years","%","25.6"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","410","25 - 29 years","%","15.1"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","440","30 - 34 years","%","19.1"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","460","35 - 39 years","%","10.7"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","475","40 - 44 years","%","12.3"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","495","45 - 49 years","%","10"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","515","50 - 54 years","%","6.8"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","530","55 - 59 years","%","12.1"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","550","60 - 64 years","%","5.1"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","565","65 - 69 years","%","4.5"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","580","70 - 74 years","%","1.8"
"HIS47C01","Persons who binge drink","2023","2023","2","Female","605","75 years and over","%","0.7"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","-","All ages","%","27.8"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","300","15 - 19 years","%","33.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","365","20 - 24 years","%","41.1"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","410","25 - 29 years","%","33"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","440","30 - 34 years","%","33.5"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","460","35 - 39 years","%","30.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","475","40 - 44 years","%","28.9"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","495","45 - 49 years","%","27.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","515","50 - 54 years","%","30.5"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","530","55 - 59 years","%","26.6"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","550","60 - 64 years","%","24.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","565","65 - 69 years","%","18.7"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","580","70 - 74 years","%","17"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","605","75 years and over","%","7.9"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","-","All ages","%","42.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","300","15 - 19 years","%","45.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","365","20 - 24 years","%","53.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","410","25 - 29 years","%","47.2"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","440","30 - 34 years","%","46.3"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","460","35 - 39 years","%","44.8"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","475","40 - 44 years","%","45.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","495","45 - 49 years","%","44.4"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","515","50 - 54 years","%","45.4"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","530","55 - 59 years","%","42"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","550","60 - 64 years","%","38.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","565","65 - 69 years","%","34.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","580","70 - 74 years","%","30.2"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","605","75 years and over","%","17"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","-","All ages","%","14.2"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","300","15 - 19 years","%","18.4"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","365","20 - 24 years","%","29.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","410","25 - 29 years","%","19.5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","440","30 - 34 years","%","21.1"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","460","35 - 39 years","%","16.5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","475","40 - 44 years","%","13.7"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","495","45 - 49 years","%","10.4"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","515","50 - 54 years","%","15.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","530","55 - 59 years","%","12.1"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","550","60 - 64 years","%","9.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","565","65 - 69 years","%","5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","580","70 - 74 years","%","4.3"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","605","75 years and over","%","0"